Resource Name,Address,Zip,hours,library,open,temporary_shelter,day_center,coord_reentry,group_therapy,showers,meals,food_box,laundry,health_services,misc_services,description,URL,full_address,Latitude,Longitude,Address_clean,Zip_clean,ADDRESS_clean,ZIP_clean,match_method,match_score,match_method_display,neighborhood,resource_calc-nolib,resource_calc_total
Kaiser Permanente Health Care,3500 NE Martin Luther King Jr Boulevard,97212.0,Monday-Friday 8:30am-5pm,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"Provides education, psychological support, and individual, child, family, and group counseling. Teaches relaxation, communication, positive image, and goal setting skills for people with cancer and the people that support them. Ongoing grief counseling for families. Open to both Kaiser members and nonmembers.",TBD,"3500 NE Martin Luther King Jr Boulevard, Portland, OR 97212",45.548525311404745,-122.6611572,3500 NE MARTIN LUTHER KING JR BOULEVARD,97212.0,,,fuzzy,93.15068493150685,fuzzy (93.2%),King,1,1
Lifestance Health,4055 SW Garden Home Road,97219.0, Monday-Friday 9am-5pm,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"Provides mental health evaluations and individual, couples, and faith-based counseling. Offers psychiatric medication evaluation and management services.",TBD,"4055 SW Garden Home Road, Portland, OR 97219",45.46668457,-122.7191013,4055 SW GARDEN HOME ROAD,97219.0,4055 SW GARDEN HOME ROAD,97219.0,exact,,exact,Multnomah,1,1
Mindful Therapy Pacific Nw,825 NE 20th Avenue,97232.0, Monday-Friday 9am-4pm,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"Provides counseling services for individuals, groups, and couples. Offers in-person and telehealth sessions.",TBD,"825 NE 20th Avenue, Portland, OR 97232",45.52914430141102,-122.6457607,825 NE 20TH AVENUE,97232.0,825 NE 20TH AVENUE,97232.0,exact,,exact,Kerns,1,1
Portland Therapy Project,7305 NE Glisan Street,97213.0,Thursday 3pm-5pm,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"Provides mental health services which offers individual, couple, group, and gender affirming counseling that specializes in trauma, body-centered work, and LGBTQ+. Provides World Professional Association for Transgender Health letters of readiness for gender affirming surgeries.",TBD,"7305 NE Glisan Street, Portland, OR 97213",45.52692090871286,-122.5872664,7305 NE GLISAN STREET,97213.0,7305 NE GLISAN STREET,97213.0,exact,,exact,Montavilla,1,1
Pathfinder Network,10373 NE Hancock Street,97220.0,Monday-Friday 8:30am-7pm,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"Provides strength-based group sessions through the utilization of trauma-informed approaches such as mindfulness practices, relational therapy, cognitive-behavior techniques (CBT), psycho-education, and body-focused movement.
Meals are provided and childcare is available.",TBD,"10373 NE Hancock Street, Portland, OR 97220",45.53648262189673,-122.5558724,10373 NE HANCOCK STREET,97220.0,10373 NE HANCOCK STREET,97220.0,exact,,exact,Parkrose Heights,1,1
Cascadia Health,6200 SE King Road,97222.0,Varies by service,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"Offers mental health counseling for families, primary care, and substance use disorder (SUD) services, including Adult Outpatient/Recovery day services.",TBD,"6200 SE King Road, Portland, OR 97222",45.447689684038814,-122.5986673,6200 SE KING ROAD,97222.0,6200 SE KING ROAD,97222.0,exact,,exact,Mt. Scott-Arleta neighborhood,1,1
Northwest Family Services,3231 SE 50th Avenue,97206.0,"Monday-Thursday 8am-6pm, Friday 8am-5pm",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"Professional counseling provided by licensed counselors. Services include individual, couples, and family counseling, as well as educational seminars and classes on topics including depression, anxiety, grief, anger management, body image, parenting, and communication skills.",TBD,"3231 SE 50th Avenue, Portland, OR 97206",45.499164694626685,-122.6115244,3231 SE 50TH AVENUE,97206.0,3231 SE 50TH AVENUE,97206.0,exact,,exact,Richmond,1,1
Quest Center For Integrative Health,12636 SE Stark Street,97233.0,Monday-Friday 8:30am-5pm,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"Provide services, counseling, support groups, and education to people seeking a wellness-focused approach to living and dying. Assist clients to sustain lifestyle changes that support healing and to effectively strengthen those diagnosed with chronic or life-challenging illnesses, including HIV/AIDS, mental health disorders, chemical dependency, and breast cancer. Offers naturopathic, osteopathic, and Chinese medicine and non-opioid pain management services.",TBD,"12636 SE Stark Street, Portland, OR 97233",45.518836901033936,-122.5334781,12636 SE STARK STREET,97233.0,12636 SE STARK STREET,97233.0,exact,,exact,Mill Park,1,1
Lifestance Health,12636 SE Stark Street,97233.0,Monday-Friday 8:30am-5pm,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"Provides mental health evaluations and individual, couples, and faith-based counseling. Offers psychiatric medication evaluation and management services.",TBD,"12636 SE Stark Street, Portland, OR 97233",45.518836901033936,-122.5334781,12636 SE STARK STREET,97233.0,12636 SE STARK STREET,97233.0,exact,,exact,Mill Park,1,1
,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0,0
,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0,0
,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0,0
,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0,0
,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0,0
,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0,0
,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0,0
,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0,0
,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0,0
,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0,0
,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0,0
,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0,0
,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0,0
,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0,0
,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0,0
,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0,0
,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0,0
,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0,0
,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0,0
,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0,0
,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0,0
,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0,0
,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0,0
,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0,0
,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0,0
,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0,0
,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0,0
,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0,0
,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0,0
,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0,0
,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0,0
,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0,0
,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0,0
,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0,0
,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0,0
,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0,0
,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0,0
,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0,0
,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0,0
,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0,0
,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0,0
,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0,0
,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0,0
,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0,0
,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0,0
,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0,0
,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0,0
,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0,0
,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0,0
,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0,0
,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0,0
,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0,0
,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0,0
,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0,0
,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Provides an intake line for services such as case management, individual, family, group, geriatric and LGBTQ counseling, alcohol and drug treatment services, DUII and gambling addiction/treatment services, recovery housing services, sexual abuse counseling, domestic violence services, urgent mental health services, medication management, money management, outreach, crisis intervention, outpatient mental health services, and early intervention services.

Provides about 1000 units in sites operating as licensed residential, permanent supported housing, and independent housing.",,,,,,,,,,,,,0,0
